"displayName","rating","userRatingCount","primaryType","placeUri","address","latitude","longitude","weekdayDescriptions"
"Black Gold Amsterdam","4.8","749","coffee_shop","https://maps.google.com/?cid=13817876557388349051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Korte Koningsstraat 13 H, 1011 EX Amsterdam, Netherlands","52.371787999999995","4.9030432","Monday: 9:00 AM - 5:00 PM
Tuesday: 9:00 AM - 5:00 PM
Wednesday: 9:00 AM - 5:00 PM
Thursday: 9:00 AM - 5:00 PM
Friday: 9:00 AM - 5:00 PM
Saturday: 10:00 AM - 6:00 PM
Sunday: 10:00 AM - 6:00 PM"
"Hummingbird Coffee Amsterdam","4.6","848","coffee_shop","https://maps.google.com/?cid=16912688596054977832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Spuistraat 217, 1012 RN Amsterdam, Netherlands","52.371586799999996","4.8895102999999995","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:30 PM
Sunday: 9:00 AM - 5:30 PM"
"De Koffieschenkerij","4.7","3054","cafe","https://maps.google.com/?cid=5588248605643341817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Oudekerksplein 27, 1012 GX Amsterdam, Netherlands","52.3741148","4.898346699999999","Monday: 9:00 AM - 6:00 PM
Tuesday: 9:00 AM - 6:00 PM
Wednesday: 9:00 AM - 6:00 PM
Thursday: 9:00 AM - 6:00 PM
Friday: 9:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM"
"Bocca Coffee","4.4","1861","coffee_shop","https://maps.google.com/?cid=18188383309989194106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Kerkstraat 96H, 1017 GP Amsterdam, Netherlands","52.3643905","4.8868164","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM"
"Coffeeshop The Greenhouse Effect Amsterdam","4.4","3491","","https://maps.google.com/?cid=13751898002963946213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Nieuwmarkt 14, 1012 CR Amsterdam, Netherlands","52.372849","4.899859","Monday: 8:00 AM - 1:00 AM
Tuesday: 8:00 AM - 1:00 AM
Wednesday: 8:00 AM - 1:00 AM
Thursday: 8:00 AM - 1:00 AM
Friday: 8:00 AM - 1:00 AM
Saturday: 8:00 AM - 1:00 AM
Sunday: 8:00 AM - 1:00 AM"
"Caffè il Momento","4.6","872","coffee_shop","https://maps.google.com/?cid=16136560569487544155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Singel 180, 1015 AJ Amsterdam, Netherlands","52.374684599999995","4.8890461","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM"
"Kafenion Amsterdam","4.9","3035","cafe","https://maps.google.com/?cid=13799867098777125081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Bloemgracht 49, 1016 KD Amsterdam, Netherlands","52.374677","4.8813721999999995","Monday: 8:00 AM - 7:00 PM
Tuesday: 8:00 AM - 7:00 PM
Wednesday: 8:00 AM - 7:00 PM
Thursday: 8:00 AM - 7:00 PM
Friday: 8:00 AM - 7:00 PM
Saturday: 9:00 AM - 7:30 PM
Sunday: 9:00 AM - 7:30 PM"
"Alpha coffee Amsterdam","4.9","189","coffee_shop","https://maps.google.com/?cid=4986897687822909375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Amstel 47, 1011 PW Amsterdam, Netherlands","52.3662631","4.9018763","Monday: 9:00 AM - 6:00 PM
Tuesday: 9:00 AM - 6:00 PM
Wednesday: 9:00 AM - 6:00 PM
Thursday: 9:00 AM - 6:00 PM
Friday: 9:00 AM - 6:00 PM
Saturday: 9:30 AM - 6:00 PM
Sunday: 9:30 AM - 6:00 PM"
"LOT61 Coffee Roasters","4.6","1930","food_store","https://maps.google.com/?cid=15526938402491586985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Kinkerstraat 112, 1053 ED Amsterdam, Netherlands","52.3668272","4.870314","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM"
"Luuk's Coffee Noordermarkt","4.8","880","coffee_shop","https://maps.google.com/?cid=11045848961108365584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Westerstraat 3, 1015 LT Amsterdam, Netherlands","52.378763899999996","4.8862575","Monday: 7:30 AM - 4:30 PM
Tuesday: 7:30 AM - 4:30 PM
Wednesday: 7:30 AM - 4:30 PM
Thursday: 7:30 AM - 4:30 PM
Friday: 7:30 AM - 4:30 PM
Saturday: 8:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM"
"Five Ways Coffee Roasters","4.7","556","brunch_restaurant","https://maps.google.com/?cid=8361652983497465977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Boerhaaveplein 3, 1091 DH Amsterdam, Netherlands","52.3598712","4.9123059","Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM"
"LOT61 Amsterdam Centraal Station","4.4","740","coffee_shop","https://maps.google.com/?cid=4810359084861603137&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Oosterdoksstraat 4, 1011 DK Amsterdam, Netherlands","52.376894","4.9043325","Monday: 6:30 AM - 9:00 PM
Tuesday: 6:30 AM - 9:00 PM
Wednesday: 6:30 AM - 9:00 PM
Thursday: 6:30 AM - 9:00 PM
Friday: 6:30 AM - 9:00 PM
Saturday: 7:00 AM - 9:00 PM
Sunday: 7:00 AM - 9:00 PM"
"Barney's Coffeeshop Amsterdam THC Cannabis Dispensary","4.6","4782","store","https://maps.google.com/?cid=16644677838783126486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Haarlemmerstraat 102, 1013 EW Amsterdam, Netherlands","52.3806892","4.8908553","Monday: 9:00 AM - 1:00 AM
Tuesday: 9:00 AM - 1:00 AM
Wednesday: 9:00 AM - 1:00 AM
Thursday: 9:00 AM - 1:00 AM
Friday: 9:00 AM - 1:00 AM
Saturday: 9:00 AM - 1:00 AM
Sunday: 9:00 AM - 1:00 AM"
"Coffee & Cakes","4.6","1137","coffee_shop","https://maps.google.com/?cid=9808674227877766445&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Warmoesstraat 133, 1012 JB Amsterdam, Netherlands","52.3738628","4.896120799999999","Monday: 8:00 AM - 10:00 PM
Tuesday: 8:00 AM - 10:00 PM
Wednesday: 8:00 AM - 10:00 PM
Thursday: 8:00 AM - 10:00 PM
Friday: 8:00 AM - 10:00 PM
Saturday: 8:00 AM - 10:00 PM
Sunday: 8:00 AM - 10:00 PM"
"Coffee Shop","4.5","95","coffee_shop","https://maps.google.com/?cid=3497098841906748640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Utrechtsestraat 27HS, 1017 VH Amsterdam, Netherlands","52.364776199999994","4.8980473","Monday: 8:00 AM - 11:30 PM
Tuesday: 8:00 AM - 11:30 PM
Wednesday: 8:00 AM - 11:30 PM
Thursday: 8:00 AM - 11:30 PM
Friday: 8:00 AM - 11:30 PM
Saturday: 8:00 AM - 11:30 PM
Sunday: 8:00 AM - 11:30 PM"
"Coffee & Bites","4.6","656","breakfast_restaurant","https://maps.google.com/?cid=5284912426198355488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Plantage Middenlaan 44-HS, 1018 DH Amsterdam, Netherlands","52.365945499999995","4.9125043999999995","Monday: 8:30 AM - 4:00 PM
Tuesday: 8:30 AM - 4:00 PM
Wednesday: 8:30 AM - 4:00 PM
Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 8:30 AM - 4:00 PM"
"Kaldi Amsterdam Utrechtsestraat","4.9","479","coffee_shop","https://maps.google.com/?cid=6651395700089812166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Utrechtsestraat 129, 1017 VM Amsterdam, Netherlands","52.3616975","4.8993359","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:30 AM - 3:00 PM"
"KOF Amsterdam Coffee Roasters","4.5","159","coffee_shop","https://maps.google.com/?cid=12834393538407371771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Huidenstraat 30I, 1016 ET Amsterdam, Netherlands","52.368895599999995","4.8851448","Monday: 8:00 AM - 6:00 PM
Tuesday: 8:00 AM - 6:00 PM
Wednesday: 8:00 AM - 6:00 PM
Thursday: 8:00 AM - 6:00 PM
Friday: 8:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM"
"Prix d'Ami.","4.4","10038","store","https://maps.google.com/?cid=6838805495389945681&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Haringpakkerssteeg 3, 1012 LR Amsterdam, Netherlands","52.3768702","4.897145699999999","Monday: 7:00 AM - 1:00 AM
Tuesday: 7:00 AM - 1:00 AM
Wednesday: 7:00 AM - 1:00 AM
Thursday: 7:00 AM - 1:00 AM
Friday: 7:00 AM - 1:00 AM
Saturday: 7:00 AM - 1:00 AM
Sunday: 7:00 AM - 1:00 AM"
"Good Beans","4.8","477","coffee_shop","https://maps.google.com/?cid=18056186638478723781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA","Binnen Oranjestraat 4, 1013 JA Amsterdam, Netherlands","52.382381","4.887274199999999","Monday: 8:30 AM - 5:00 PM
Tuesday: 8:30 AM - 5:00 PM
Wednesday: 8:30 AM - 5:00 PM
Thursday: 8:30 AM - 5:00 PM
Friday: 8:30 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 10:00 AM - 5:00 PM"
